geom,sol,site,pos,Ls,SCLK_START,SCLK_END,lat_dd,lon_dd,easting_m,northing_m,elev_m,straightli,straight_1,traverse_d,total_dist,dist_bradb,azimuth_br,pitch_rad,roll_rad,tilt_rad,yaw_rad,pitch_deg,roll_deg,tilt_deg,yaw_deg,mobtrav_id,mobtrav_to,drive_type,site_pos,5_drive_av,sol_site_p,ORIG_FID
01010000A0E61000008E8857E7D12B61405E1C20A470AD12C043F5FF3F765AB1C0,1073,49,642,26.6,492747004.3,492751506.6,-4.669375,137.369373,8142528.034,-276775.791,-4442.461914,43.523,199.258,47.029,10830,6385.950043,0,0.07752,-0.06147,0.0989,2.87434,4.441568828,-3.521971567,5.666552594,164.6875509,47.056916,11046.81951,final,49_642,21.88922717,1073_49_642,-1
01010000A0E61000007833723DD12B6140E1976EFFCAAD12C0BD0A00C0015AB1C0,1074,49,814,27.1,492836978.4,492839535.8,-4.66971968,137.369292,8142523.232,-276796.222,-4442.006836,20.984,193.185,21.16,10852,6404.332751,0,0.06399,0.02384,0.06828,-3.08145,3.666356931,1.365931384,3.912155825,-176.5540798,21.161258,11067.98076,final,49_814,24.67910783,1074_49_814,-1
01010000A0E61000002BFA2925D02B6140B0C6BD7044AE12C0BD0A00C0D357B1C0,1078,49,1018,28.9,493192173.3,493195073.4,-4.67018296,137.3691583,8142515.31,-276823.682,-4439.827148,28.573,196.042,28.608,10880,6430.045539,0,0.15354,-0.00545,0.15364,-3.05079,8.797193986,-0.312261998,8.802923564,-174.7973912,28.676494,11096.65726,final,49_1018,29.30152367,1078_49_1018,-1
01010000A0E6100000998362E0CF2B614081F70BE0BBAE12C0BD0A00C01156B1C0,1080,49,1216,29.8,493376839.6,493379735.9,-4.67063856,137.3691256,8142513.366,-276850.688,-4438.069336,27.075,184.103,27.14,10907,6451.460068,0,0.07,-0.00148,0.07001,-3.11327,4.010704566,-0.084797754,4.011277524,-178.3772315,27.010837,11123.66809,final,49_1216,29.57842783,1080_49_1216,-1
01010000A0E610000035EE7931D02B6140BF1B3B2512AF12C0E5EFFF5F9E56B1C0,1083,49,1420,31.2,493638098.1,493641408.5,-4.67096766,137.3691642,8142515.658,-276870.195,-4438.618652,19.64,173.321,21.811,10929,6464.49798,0,0.15555,0.0273,0.15791,2.85781,8.912358503,1.564174781,9.047576543,163.7404517,21.57041,11145.2385,final,49_1420,30.11837183,1083_49_1420,-1
01010000A0E6100000A3CB8121D22B61407E7F942387AF12C0A2FAFF1F2256B1C0,1085,49,1798,32.1,493821192.3,493825979.3,-4.67141396,137.3694007,8142529.678,-276896.649,-4438.133301,29.918,152.157,38.909,10968,6475.011779,0,0.10689,-0.02313,0.10935,1.76342,6.124345872,-1.32525138,6.26529349,101.0365235,38.962712,11184.20122,final,49_1798,30.73977117,1085_49_1798,-1
01010000A0E610000076EFF920D22B6140C5683B1F97AF12C01B1000A0B555B1C0,1087,49,1876,33,493994275.5,493996842.8,-4.67147492,137.3694005,8142529.663,-276900.263,-4437.709473,3.614,180.231,6.167,10975,6477.73326,0,0.16793,-0.04057,0.17272,2.48588,9.621680254,-2.324489775,9.896127038,142.4304324,6.240453,11190.44167,final,49_1876,23.93702733,1087_49_1876,-1
01010000A0E610000014F258C3D32B6140AC3AFEDB88AF12C0A2FAFF1FC554B1C0,1093,49,2026,36.2,494526510.5,494529029.4,-4.67142051,137.3696,8142541.488,-276897.038,-4436.77002,12.219,74.696,15.697,10990,6467.500762,0,0.13348,0.03075,0.13696,1.45119,7.647840649,1.76184522,7.847229962,83.14706227,15.83484,11206.27651,final,49_2026,23.049291,1093_49_2026,-1
01010000A0E6100000061B2903D62B61407AD60820C5AF12C043F5FF3F7852B1C0,1094,49,2236,36.7,494611222.2,494615141.6,-4.6716504,137.3698746,8142557.763,-276910.665,-4434.469727,21.185,130.032,25.034,11016,6467.0264,0,0.15102,0.03936,0.15603,3.12332,8.652808622,2.255161882,8.939860477,178.9530541,25.537962,11231.81447,final,49_2236,22.52620233,1094_49_2236,-1
01010000A0E61000009D284B9AD52B6140AEE6ED07F3AF12C000000000F851B1C0,1098,49,2374,38.5,494967371.7,494970652.3,-4.67182552,137.3698246,8142554.799,-276921.045,-4433.96875,10.792,195.888,12.833,11029,6476.796407,0,0.02694,0.02613,0.03753,-3.11632,1.5435483,1.497138719,2.150310605,-178.5519836,13.044019,11244.85849,final,49_2374,20.19839933,1098_49_2374,-1
01010000A0E61000001610C15BD32B6140D9ADF36575B012C0E5EFFF5F9E51B1C0,1099,49,2626,38.9,495057087.2,495060815.1,-4.67232284,137.3695506,8142538.56,-276950.523,-4433.618652,33.63,208.769,34.63,11063,6509.690817,0,0.01597,0.06878,0.07061,-2.41669,0.915013599,3.940803715,4.045654991,-138.4661374,34.42253,11279.28102,final,49_2626,22.34041933,1099_49_2626,-1
01010000A0E61000006497287AD12B61406144ECBDFAB012C0BD0A00C00B51B1C0,1100,49,2902,39.4,495144695.3,495148494,-4.6728315,137.369321,8142524.948,-276980.674,-4433.045898,33.062,204.226,34.368,11098,6541.379546,0,0.07666,0.08831,0.11688,-2.45391,4.392294457,5.059790289,6.696730709,-140.5986863,34.543602,11313.82462,final,49_2902,21.603901,1100_49_2902,-1
01010000A0E61000004ABFA2EBCF2B6140CF39200314B112C043F5FF3F5252B1C0,1104,50,0,41.2,495500066.2,495502672.7,-4.672927878,137.3691309,8142513.684,-276986.388,-4434.321289,12.62,243.22,20.78,11119,6553.078474,0,0.02342,0.08625,0.08936,-2.8315,1.341867156,4.941760983,5.119950857,-162.2329997,20.864896,11334.68952,final,50_0,24.04130817,1104_50_0,-1
01010000A0E61000001ED1C4D4CE2B6140FF503E6A1CB112C07A1500801252B1C0,1106,50,114,42.1,495677456.2,495680161.3,-4.67295995,137.3689979,8142505.802,-276988.288,-4434.072266,8.082,256.394,10.478,11130,6559.683582,0,0.05465,0.04227,0.06907,-2.24847,3.13121435,2.4218926,3.957419491,-128.8278414,10.512381,11345.2019,final,50_114,23.15423167,1106_50_114,-1
01010000A0E6100000D2DB2A26CE2B6140B0064F9C00B112C05E0500E03253B1C0,1107,50,250,42.5,495765841.2,495767973.4,-4.67285389,137.3689147,8142500.867,-276982.001,-4435.19873,7.982,321.962,16.601,11147,6558.184055,0,0.04163,0.16493,0.17005,-2.26726,2.385223301,9.449792915,9.743147306,-129.9044291,16.960728,11362.16263,final,50_250,21.72469267,1107_50_250,-1
01010000A0E610000076475BB7CD2B614041BF88BEFEB012C01B1000A06853B1C0,1108,50,322,43,495861074.2,495862139.3,-4.67284678,137.3688618,8142497.735,-276981.579,-4435.408691,3.151,277.696,4.658,11152,6559.925037,0,-0.11722,-0.01983,0.11888,-0.47986,-6.716211275,-1.136175308,6.811322269,-27.49395276,4.799725,11366.96235,final,50_322,20.35064367,1108_50_322,-1
01010000A0E61000006B37A210CC2B61400EA9279F27B112C0000000006953B1C0,1110,50,448,44.3,496033492.7,496036424.8,-4.67300271,137.3686603,8142485.787,-276990.822,-4435.410156,15.074,232.18,15.076,11167,6574.745878,0,-0.0006,-0.08482,0.08482,0.79832,-0.034377468,-4.859828018,4.859828018,45.7403667,15.211331,11382.17368,final,50_448,17.14877717,1110_50_448,-1
01010000A0E6100000E1707C6ECB2B61408246D2824AB112C043F5FF3FB652B1C0,1112,50,592,45.2,496217829.3,496220096.2,-4.6731358,137.368583,8142481.204,-276998.711,-4434.711914,9.116,210.073,14.021,11181,6583.702542,0,0.1436,-0.0085,0.14385,2.48016,8.227673938,-0.487014126,8.241997883,142.1027005,13.87018,11396.04386,final,50_592,13.70320683,1112_50_592,-1
