target_plan,Sequence,inst_type,notes
Adams_Sound,ccam02193,CCAM, 
MCAM_CT_White_Raster,ccam03193,CCAM, 
Richmond_Gulf,ccam01194,CCAM, 
Thelon,ccam01195,CCAM, 
Drilltailings_2,ccam02195,CCAM, 
Cal Target 10,ccam01216,CCAM, 
McGrath_4,ccam01226,CCAM, 
Ruth,ccam02226,CCAM, 
Carol,ccam03226,CCAM, 
Drillhole_CCAM,ccam01227,CCAM, 
Drill_Tailings,ccam02227,CCAM, 
Sky,ccam02230,CCAM, 
Cal Target 11,ccam01230,CCAM, 
Ruth,ccam01232,CCAM, 
DumpPile,ccam01234,CCAM, 
McGrath_5,ccam02234,CCAM, 
Cal Target 11,ccam01269,CCAM, 
Cal Target 10,ccam02269,CCAM, 
RMI01,ccam03269,CCAM, 
RMI02,ccam04269,CCAM, 
RMI04,ccam06269,CCAM, 
RMI05,ccam07269,CCAM, 
RMI06,ccam08269,CCAM, 
RMI07,ccam09269,CCAM, 
N1800,ccam10269,CCAM, 
MCAM_CT_WhiteMagnet,ccam11269,CCAM, 
Narrows3_CCAM_Target,ccam01271,CCAM, 
Sutton_Inlier_3,ccam02271,CCAM, 
Cal Target 10,ccam04271,CCAM, 
Cal Target 4,ccam05271,CCAM, 
MCAM_CT_White_Raster,ccam06271,CCAM, 
MCAM_CT_White_Green,ccam07271,CCAM, 
Cumberland_CCAM,ccam01274,CCAM, 
Kazan_CCAM,ccam02274,CCAM, 
Cumberland_Bowl,ccam01275,CCAM, 
Cumberland3,ccam02275,CCAM, 
CumberlandNew_RP,ccam01277,CCAM, 
Sky,ccam01278,CCAM, 
CumberlandNew_RP,ccam01281,CCAM, 
CumberlandA_LL,ccam02281,CCAM, 
Cal Target 11,ccam03281,CCAM, 
Sulky_CCAM,ccam01283,CCAM, 
East_River,ccam02283,CCAM, 
Long_Island,ccam03283,CCAM, 
Sky,ccam01284,CCAM, 
Ferriman,ccam03284,CCAM, 
Karrat,ccam04284,CCAM, 
Green_Head,ccam05284,CCAM, 
Lady_Nye,ccam06284,CCAM, 
Cumberland_Hole,ccam07284,CCAM, 
Lady_Nye_2,ccam01286,CCAM, 
Lady_Nye_3,ccam02286,CCAM, 
Miette,ccam01289,CCAM, 
CumberlandNew_RP_LL,ccam02289,CCAM, 
CumberlandNew_RP_LL,ccam03289,CCAM, 
CumberlandNew_RP_LL,ccam05289,CCAM, 
Lady_Nye_4,ccam01290,CCAM, 
Cumberland_DRT_RP,ccam01292,CCAM, 
Duluth,ccam02292,CCAM, 
Cal Target 11,ccam03292,CCAM, 
Cumberland3_ccam,ccam04292,CCAM, 
Sibley,ccam05292,CCAM, 
Christopher_Island,ccam06292,CCAM, 
Sky,ccam01296,CCAM, 
Mesabi,ccam01298,CCAM, 
Cape_Strawberry,ccam02298,CCAM, 
Knob_Lake,ccam01302,CCAM, 
Athole_Point,ccam02302,CCAM, 
Sky,ccam04302,CCAM, 
Balboa (Dismal_Lakes),ccam01303,CCAM, 
LeRoux,ccam01304,CCAM, 
Le_Moyne,ccam02304,CCAM, 
MCAM_CT_Triad,ccam04304,CCAM, 
Measles_Point,ccam01305,CCAM, 
Balboa_2,ccam02305,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03305,CCAM, 
Nancroix,ccam04305,CCAM, 
Croteau,ccam05305,CCAM, 
Sky,ccam07305,CCAM, 
Cal Target 9,ccam01308,CCAM, 
Cal Target 8,ccam01308,CCAM, 
Cal Target 7,ccam01308,CCAM, 
Cal Target 4,ccam01308,CCAM, 
Cal Target 2,ccam01308,CCAM, 
Cal Target 9,ccam02308,CCAM, 
Cal Target 8,ccam02308,CCAM, 
Cal Target 7,ccam02308,CCAM, 
Cal Target 4,ccam02308,CCAM, 
Cal Target 2,ccam02308,CCAM, 
Rove,ccam01309,CCAM, 
Ramah,ccam02309,CCAM, 
Cal Target 10,ccam01310,CCAM, 
Cal Target 6,ccam01310,CCAM, 
Cal Target 3,ccam01310,CCAM, 
Cal Target 1,ccam01310,CCAM, 
Cal Target 10,ccam02310,CCAM, 
Cal Target 6,ccam02310,CCAM, 
Cal Target 3,ccam02310,CCAM, 
Cal Target 1,ccam02310,CCAM, 
MCAM_CT_White_Raster,ccam03310,CCAM, 
MCAM_CT_Triad,ccam04310,CCAM, 
Michigamme,ccam01311,CCAM, 
Society_Cliffs,ccam02311,CCAM, 
Wakham_Bay,ccam04311,CCAM, 
Piling,ccam05311,CCAM, 
Wishart,ccam01312,CCAM, 
Mount_Eduni,ccam02312,CCAM, 
Castle_Mountain,ccam03312,CCAM, 
Sky,ccam04312,CCAM, 
Chioak,ccam01315,CCAM, 
Gogebic,ccam02315,CCAM, 
Saglek,ccam03315,CCAM, 
Rusty_Shale,ccam01316,CCAM, 
Sokoman,ccam02316,CCAM, 
Reddick_Bight,ccam03316,CCAM, 
Mary_River,ccam04316,CCAM, 
Young_Point,ccam05316,CCAM, 
Young_Point,ccam06316,CCAM, 
Young_Point,ccam08316,CCAM, 
Montaigne,ccam01317,CCAM, 
Double_Mer,ccam02317,CCAM, 
Denault,ccam03317,CCAM, 
Cal Target 10,ccam01318,CCAM, 
Cal Target 11,ccam02318,CCAM, 
CC_BT_0318a,ccam15022,CCAM, 
Aillik,ccam01319,CCAM, 
Eqalulik,ccam02319,CCAM, 
Menihek,ccam03319,CCAM, 
Cartwright,ccam04319,CCAM, 
Sky,ccam06319,CCAM, 
CCAM_CCCT_Pass_Triad,ccam07319,CCAM, 
MCAM_CT_Triad,ccam08319,CCAM, 
Husky_Creek,ccam01322,CCAM, 
Fabricius_Cliffs,ccam02322,CCAM, 
Seal_Lake,ccam01323,CCAM, 
Steep_Rock,ccam02323,CCAM, 
Camp_Island,ccam03323,CCAM, 
Howells,ccam01324,CCAM, 
Sky,ccam03324,CCAM, 
Chantrey,ccam01326,CCAM, 
Cunningham,ccam02326,CCAM, 
Denham,ccam03326,CCAM, 
Wagita,ccam04326,CCAM, 
Ameto,ccam05326,CCAM, 
Sky,ccam06326,CCAM, 
CC_BT_0328a,ccam15022,CCAM, 
Sky,ccam08326,CCAM, 
Watterson,ccam01329,CCAM, 
Thomson,ccam02329,CCAM, 
Gunflint,ccam03329,CCAM, 
CC_BT_0330a,ccam15022,CCAM, 
Cal Target 10,ccam01330,CCAM, 
Cal Target 9,ccam01330,CCAM, 
Cal Target 8,ccam01330,CCAM, 
Cal Target 7,ccam01330,CCAM, 
Cal Target 6,ccam01330,CCAM, 
Cal Target 4,ccam01330,CCAM, 
Cal Target 3,ccam01330,CCAM, 
Cal Target 2,ccam01330,CCAM, 
Cal Target 1,ccam01330,CCAM, 
Cal Target 10,ccam02330,CCAM, 
Cal Target 9,ccam02330,CCAM, 
Cal Target 8,ccam02330,CCAM, 
Cal Target 7,ccam02330,CCAM, 
Cal Target 6,ccam02330,CCAM, 
Cal Target 4,ccam02330,CCAM, 
Cal Target 3,ccam02330,CCAM, 
Cal Target 2,ccam02330,CCAM, 
Cal Target 1,ccam02330,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03330,CCAM, 
MCAM_CT_Triad,ccam04330,CCAM, 
Tamarack_River,ccam01331,CCAM, 
Pisolet,ccam01332,CCAM, 
Pethei,ccam02332,CCAM, 
Post_Hill,ccam03332,CCAM, 
Parry_Bay,ccam04332,CCAM, 
Sky,ccam05332,CCAM, 
CC_BT_0334a,ccam15022,CCAM, 
Kaniapiskau,ccam01335,CCAM, 
Kasegalik,ccam02335,CCAM, 
Marquette,ccam03335,CCAM, 
Kaertok,ccam04335,CCAM, 
Nullataktok,ccam01336,CCAM, 
Ikpiarjuk,ccam02336,CCAM, 
Manitounuk,ccam03336,CCAM, 
Adlavik,ccam01337,CCAM, 
Angmaat,ccam02337,CCAM, 
Ashuanipi,ccam03337,CCAM, 
Finger_Hill,ccam01338,CCAM, 
Mont_Wright_337,ccam02338,CCAM, 
Attikamagen,ccam03338,CCAM, 
Chakonipau,ccam04338,CCAM, 
Red_Wine,ccam01339,CCAM, 
Dobie,ccam02339,CCAM, 
Cosmo,ccam03339,CCAM, 
Sky,ccam04339,CCAM, 
MCAM_CT_Triad,ccam05339,CCAM, 
CCAM_CCCT_Pass_Triad,ccam06339,CCAM, 
CCCT#10_Z_stack,ccam07339,CCAM, 
Cal Target 10 Zstack,ccam07339,CCAM, 
CC_BT_0341a,ccam15022,CCAM, 
Caribou,ccam01342,CCAM, 
Partridge,ccam02342,CCAM, 
Frood_2,ccam01343,CCAM, 
Frood_1,ccam02343,CCAM, 
La_Reine,ccam01346,CCAM, 
Tete_Jaune,ccam02346,CCAM, 
Cal Target 10,ccam03346,CCAM, 
Cal Target 10,ccam04346,CCAM, 
Cal Target 10,ccam05346,CCAM, 
Lue_Point,ccam06346,CCAM, 
Tilt_Point,ccam07346,CCAM, 
Connecting_Point,ccam08346,CCAM, 
Scenic_Point,ccam09346,CCAM, 
Black_Trout,ccam01349,CCAM, 
Bull_Arm,ccam02349,CCAM, 
Mallard_Lake,ccam03349,CCAM, 
CC_BT_0350a,ccam15022,CCAM, 
CCAM_CT_Triad,ccam01350,CCAM, 
MCAM_CT_White_Raster,ccam02350,CCAM, 
MCAM_CT_Triad,ccam03350,CCAM, 
Sky,ccam01352,CCAM, 
CC_BT_0352a,ccam15022,CCAM, 
Cal Target 9,ccam02352,CCAM, 
Cal Target 2,ccam03352,CCAM, 
Cal Target 4,ccam04352,CCAM, 
Cal Target 10 Zstack,ccam05352,CCAM, 
Hector,ccam01353,CCAM, 
Howey,ccam02353,CCAM, 
CC_BT_0355a,ccam15022,CCAM, 
Cal Target 10,ccam15005,CCAM, 
MCAM_CT_White_Green,ccam03353,CCAM, 
Noriss_2,ccam01356,CCAM, 
Sky,ccam01357,CCAM, 
CC_BT_0357a,ccam15022,CCAM, 
Cal Target 9,ccam02357,CCAM, 
Cal Target 2,ccam03357,CCAM, 
Cal Target 4,ccam04357,CCAM, 
Bird_River,ccam01358,CCAM, 
Kenwood_River,ccam02358,CCAM, 
Little_Wind_River,ccam03358,CCAM, 
Cal Target 10,ccam01359,CCAM, 
Cal Target 5,ccam02359,CCAM, 
CC_BT_0359a,ccam15022,CCAM, 
Sky,ccam01360,CCAM, 
Pardee,ccam02360,CCAM, 
Ham,ccam03360,CCAM, 
Labyrinth_Lake,ccam01363,CCAM, 
Buit_Lake,ccam02363,CCAM, 
CC_BT_0364a,ccam15023,CCAM, 
Wilkinson,ccam01365,CCAM, 
Robin_Hood,ccam02365,CCAM, 
Acme,ccam03365,CCAM, 
Cal Target 4,ccam01366,CCAM, 
Sky,ccam02366,CCAM, 
Cal Target 2,ccam03366,CCAM, 
Cal Target 5,ccam01367,CCAM, 
Blackhead,ccam02367,CCAM, 
Stock,ccam03367,CCAM, 
Carthew,ccam04367,CCAM, 
Cal Target 11,ccam05367,CCAM, 
Gowganda,ccam01370,CCAM, 
Fleur_de_Lys,ccam02370,CCAM, 
Deloro,ccam01371,CCAM, 
Clarabelle,ccam02371,CCAM, 
Terra_Nova,ccam01372,CCAM, 
Maya,ccam01373,CCAM, 
Dover,ccam02373,CCAM, 
Sky_Flat_2000mm,ccam03373,CCAM, 
Feather,ccam04373,CCAM, 
Sky,ccam06373,CCAM, 
Beacon,ccam01376,CCAM, 
Aztec,ccam01377,CCAM, 
Radok,ccam01379,CCAM, 
Ross,ccam02379,CCAM, 
Carryer,ccam03379,CCAM, 
Sky,ccam04379,CCAM, 
Sledgers,ccam01381,CCAM, 
Platcha,ccam02381,CCAM, 
CC_BT_0384a,ccam15022,CCAM, 
Cal Target 10,ccam01384,CCAM, 
Cal Target 5,ccam01384,CCAM, 
Cal Target 4,ccam01384,CCAM, 
Cal Target 3,ccam01384,CCAM, 
Cal Target 2,ccam01384,CCAM, 
MCAM_CT_White_Raster,ccam02384,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03384,CCAM, 
MCAM_CT_Triad,ccam04384,CCAM, 
Cal Target 3,ccam02386,CCAM, 
CC_BT_0386a,ccam15026,CCAM, 
dark_at_night,ccam04386,CCAM, 
dark_at_night,ccam05386,CCAM, 
Skallen,ccam01387,CCAM, 
Bowers,ccam02387,CCAM, 
Pyramid,ccam03387,CCAM, 
Darwin,ccam04387,CCAM, 
Ruker_RP_ccam,ccam05387,CCAM, 
Sky,ccam06387,CCAM, 
CC_BT_0389a,ccam15025,CCAM, 
Falla,ccam01390,CCAM, 
Soldat,ccam02390,CCAM, 
Yule_Bay,ccam03390,CCAM, 
Cal Target 10,ccam01391,CCAM, 
Cal Target 5,ccam01391,CCAM, 
Cal Target 4,ccam01391,CCAM, 
Cal Target 3,ccam01391,CCAM, 
Cal Target 2,ccam01391,CCAM, 
CC_BT_0391a,ccam15026,CCAM, 
Wilson,ccam01392,CCAM, 
Kukri,ccam02392,CCAM, 
Bardin_Bluffs_2,ccam03392,CCAM, 
Flagstone_Bench,ccam04392,CCAM, 
Altar_Mountain,ccam05392,CCAM, 
Bardin_Bluffs2_pebble,ccam01394,CCAM, 
Humboldt,ccam02394,CCAM, 
Byrd,ccam03394,CCAM, 
Grainger,ccam04394,CCAM, 
Eureka,ccam05394,CCAM, 
Dark_Fields,ccam06394,CCAM, 
Sky,ccam01397,CCAM, 
CC_BT_0397a,ccam15025,CCAM, 
M31,ccam04397,CCAM, 
M31,ccam05397,CCAM, 
Sirius,ccam07397,CCAM, 
Sirius,ccam08397,CCAM, 
Camp_Ridge_ccam,ccam01398,CCAM, 
Beacon_Heights_ccam,ccam02398,CCAM, 
Platypus_Ridge,ccam01399,CCAM, 
Pebble,ccam02399,CCAM, 
Dragons_Teeth,ccam01401,CCAM, 
