sclk,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
427227563,CL5_427227563CCS_F0080000CCAM03335P3.SAV,Marquette,30.03475,6.8527565,1.7037,7.6515611,3.4882145,0.169837291,2.2020038,2.6974692,0.93,9.2129201,2.5457981,1.79,4.8241275,1.8339899,0.685,2.7163232,1.1278611,0.2,0.73366744,0.47626066,0.2,0.15263298,0.54270434,0.2,57.527986,2.13E+15
427227627,CL5_427227627CCS_F0080000CCAM03335P3.SAV,Marquette,36.810607,5.9259658,1.306,9.1470056,4.2071276,0.611143338,4.4770987,2.9742632,0.11,11.44933,2.8754961,0.915,4.0363544,1.7495507,0.75,2.6655607,1.1182309,0.2,1.1143937,0.58937979,0.2,0.1454942,0.54270434,0.2,69.845845,1.81E+15
427227792,CL5_427227792CCS_F0080000CCAM03335P3.SAV,Marquette,36.960951,5.9027858,1.706,9.6068814,4.4275947,0.565816667,0.47456965,2.5612037,0.99,9.2256122,2.5486689,0.7,3.9899117,1.7444974,0.87,2.2004434,1.0329877,0.2,1.1014724,0.58708245,0.2,0.15270603,0.54270434,0.2,63.712548,1.98E+15
427227856,CL5_427227856CCS_F0080000CCAM03335P3.SAV,Marquette,38.849121,5.621552,1.3083,9.313516,4.2838116,0.222144797,1.7143067,2.6517305,0.32,11.906113,2.943181,1.575,3.8830468,1.7333801,1.685,2.5761414,1.1008968,0.1,0.98879203,0.55822664,0.1,0.15314656,0.54270434,0.1,69.384183,1.83E+15
427227920,CL5_427227920CCS_F0080000CCAM03335P3.SAV,Marquette,38.836249,5.6229448,1.7083,9.0742924,4.1687856,0.08061661,4.0095097,2.910511,0.48,10.981024,2.8058574,1.72,3.1877252,1.6658207,0.705,2.5388676,1.0931927,0.2,0.99241495,0.55822664,0.2,0.14079887,0.53995442,0.2,69.760882,1.87E+15
427227984,CL5_427227984CCS_F0080000CCAM03335P3.SAV,Marquette,46.55688,4.9623861,1.3106,6.968592,3.1623077,0.873427559,3.9667029,2.9052727,0.52,13.08841,3.1140726,0.65,3.275919,1.6743331,1.655,1.6618559,0.95090336,0.1,0.85219498,0.5158096,0.1,0.14179942,0.53995442,0.1,76.512354,1.74E+15
427228048,CL5_427228048CCS_F0080000CCAM03335P3.SAV,Marquette,32.266533,6.5975728,1.7106,10.564163,4.882906,0.811092385,0.12819091,2.5426438,0.06,9.4780446,2.5846968,1.78,5.5437577,1.9192518,1.635,3.2453718,1.238916,0.3,0.88217743,0.52530962,0.3,0.15359177,0.54270434,0.3,62.26183,1.92E+15
425562619,CL5_425562619CCS_F0060704CCAM04316P3.SAV,Mary_River,39.680215,5.5074472,1.3129,5.7704335,2.5871773,0.878284446,0,2.53597,0.71,10.283663,2.7020111,0.505,3.3529187,1.6810957,0.525,1.6387355,0.94805837,0.3,0.65435313,0.44922748,0.3,0.15190971,0.54270434,0.3,61.532229,1.58E+15
425562696,CL5_425562696CCS_F0060704CCAM04316P3.SAV,Mary_River,34.784359,6.2392879,1.7129,8.2418134,3.770987,0.236258097,2.7176956,2.7522075,0.32,17.444269,3.7900696,1.58,3.8441008,1.7293375,0.825,2.1706227,1.0281792,0.1,0.91739712,0.5377416,0.1,0.15178587,0.54270434,0.1,70.272043,1.55E+15
425562761,CL5_425562761CCS_F0060704CCAM04316P3.SAV,Mary_River,34.862146,6.2270207,1.3152,6.9331786,3.143137,0.668313666,1.6767543,2.6491032,0.59,10.623113,2.7524037,0.665,3.7299502,1.7182201,1.555,2.1286694,1.0218294,0.2,0.78076947,0.49295399,0.2,0.15550235,0.54545432,0.2,60.890084,1.68E+15
